timestamp,cylinder_number,customer,job_number,grain_screened,ink_color,proof_on_ctd_ink,blade_mfg,cylinder_division,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,unit_number,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humifity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,class
19910108,292,63,25503,2,0,2,1,0,2,2,1,1,2,2,821,2,3,3,1911,55.0,46,0.2,17.0,78,0.75,20,13.1,1700,50.5,36.4,0.0,0.0,2.5,1.0,34.0,40,105.0,100,0
19910109,333,63,25503,2,0,2,1,0,2,2,1,1,2,2,821,2,3,3,1910,55.0,46,0.3,15.0,80,0.75,20,6.6,1900,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40,105.0,100,1
19910104,20,51,47201,2,0,2,1,0,2,0,1,1,2,3,815,9,1,3,1910,62.0,40,0.433,16.0,80,0.75,30,6.5,1850,53.8,39.8,0.0,0.0,2.8,0.9,40.0,40,103.87,100,1
19910104,244,49,39039,2,0,2,1,0,2,2,1,1,2,3,816,9,1,3,1910,52.0,40,0.3,16.0,75,0.3125,30,5.6,1467,55.6,38.8,0.0,0.0,2.5,1.3,40.0,40,108.06,100,1
19910111,173,46,37351,1,0,2,1,0,2,0,1,1,2,3,816,2,3,0,1910,50.0,46,0.3,17.0,80,0.75,30,0.0,2100,57.5,42.5,5.0,0.0,2.3,0.6,35.0,40,106.67,100,1
19910104,250,49,38039,2,0,2,1,0,2,2,1,1,2,3,816,2,1,3,1910,50.0,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40,103.87,100,1
19910111,327,57,35751,1,0,2,1,0,0,0,1,1,2,2,827,2,3,1,1911,50.0,46,0.3,16.5,75,0.75,30,0.0,2600,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40,106.67,100,1
19910111,396,57,35751,1,0,2,1,0,0,0,1,1,2,2,827,9,3,1,1911,50.0,46,0.2,16.5,75,0.75,28,0.0,2600,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40,106.67,100,1
19910112,198,51,47201,2,0,2,1,0,2,2,1,3,2,0,802,7,1,3,1910,50.0,45,0.36700000000000005,12.0,70,0.75,60,0.0,1650,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40,103.22,100,0
19910114,150,16,37000,2,0,2,1,0,2,2,1,1,2,3,815,2,1,3,1911,65.0,43,0.33299999999999996,16.0,75,1.0,32,22.7,1750,45.5,31.8,0.0,0.0,3.0,1.0,38.0,40,106.66,100,1
