,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
0,2,7,77516,9,13,4,1,1,4,1,1,0,2,39,0
1,3,6,83311,9,13,2,4,0,4,1,0,0,0,39,0
2,2,4,215646,11,9,0,6,1,4,1,0,0,2,39,0
3,3,4,234721,1,7,2,6,0,2,1,0,0,2,39,0
4,1,4,338409,9,13,2,10,5,2,0,0,0,2,5,0
5,2,4,284582,12,14,2,4,5,4,0,0,0,2,39,0
6,3,4,160187,6,5,3,8,1,2,0,0,0,0,23,0
7,3,6,209642,11,9,2,4,0,4,1,0,0,2,39,1
8,1,4,45781,12,14,4,10,1,4,0,4,0,3,39,1
9,2,4,159449,9,13,2,4,0,4,1,2,0,2,39,1
10,2,4,280464,15,10,2,4,0,2,1,0,0,4,39,1
11,1,7,141297,9,13,2,10,0,1,1,0,0,2,19,1
12,0,4,122272,9,13,4,1,3,4,0,0,0,1,39,0
13,1,4,205019,7,12,4,12,1,2,1,0,0,3,39,0
14,2,4,121772,8,11,2,3,0,1,1,0,0,2,0,1
15,1,4,245487,5,4,2,14,0,0,1,0,0,2,26,0
16,0,6,176756,11,9,4,5,3,4,1,0,0,1,39,0
17,1,4,186824,11,9,4,7,4,4,1,0,0,2,39,0
18,2,4,28887,1,7,2,12,0,4,1,0,0,3,39,0
19,2,6,292175,12,14,0,4,4,4,0,0,0,2,39,1
20,2,4,193524,10,16,2,10,0,4,1,0,0,3,39,1
21,3,4,302146,11,9,5,8,4,2,0,0,0,0,39,0
22,1,1,76845,6,5,2,5,0,2,1,0,0,2,39,0
23,2,4,117037,1,7,2,14,0,4,1,0,3,2,39,0
24,4,4,109015,11,9,0,13,4,4,0,0,0,2,39,0
25,4,2,216851,9,13,2,13,0,4,1,0,0,2,39,1
26,0,4,168294,11,9,4,3,3,4,1,0,0,2,39,0
27,3,0,180211,15,10,2,0,0,1,1,0,0,3,35,1
28,2,4,367260,11,9,0,4,1,4,1,0,0,4,39,0
29,3,4,193366,11,9,2,3,0,4,1,0,0,2,39,0
30,0,2,190709,7,12,4,11,1,4,1,0,0,3,39,0
31,0,4,266015,15,10,4,12,3,2,1,0,0,2,39,0
32,2,4,386940,9,13,0,4,3,4,1,0,1,2,39,0
33,1,1,59951,15,10,2,1,3,4,1,0,0,2,39,0
34,0,7,311512,15,10,2,8,0,2,1,0,0,0,39,0
35,3,4,242406,1,7,4,7,4,4,1,0,0,2,33,0
36,0,4,197200,15,10,4,7,3,4,1,0,0,2,39,0
37,0,4,544091,11,9,1,1,5,4,0,0,0,1,39,0
38,1,4,84154,15,10,2,12,0,4,1,0,0,2,0,1
39,3,6,265477,7,12,2,10,0,4,1,0,0,2,39,0
40,1,4,507875,6,5,2,7,0,4,1,0,0,2,39,0
41,3,6,88506,9,13,2,10,0,4,1,0,0,2,39,0
42,0,4,172987,9,13,2,13,0,4,1,0,0,3,39,0
43,3,4,94638,11,9,5,1,4,4,0,0,0,2,39,0
44,0,4,289980,11,9,4,6,1,4,1,0,0,1,39,0
45,4,1,337895,9,13,2,10,0,2,1,0,0,2,39,1
46,3,4,144361,11,9,2,7,0,4,1,0,0,2,39,0
47,2,4,128354,12,14,0,4,4,4,0,0,0,2,39,0
48,2,7,101603,8,11,2,3,0,4,1,0,0,2,39,0
49,1,4,271466,8,11,4,10,1,4,1,0,0,2,39,0
50,0,4,32275,15,10,2,4,5,3,0,0,0,2,39,0
